Nom,Catégorie,Organisation,Site web,Contact,Adresse,Type,Calendrier,start_date,end_date,Notes,Photo
MJC Lillebonne,Rencontrer,MJC Lillebonne,https://mjclillebonne.fr/activites-som/,03 83 36 82 82,14 rue du Cheval Blanc – 54000 Nancy,,,,,"UNE FOURMILIÈRE
D’ACTIVITÉS,
UN PROJET D’ÉDUCATION
POPULAIRE.
Équipement de loisirs et de culture implanté au sein d’un
remarquable ensemble architectural, composante du patrimoine
historique de la ville de Nancy, la MJC Lillebonne propose
à tous, enfants, adolescents, adultes, plus d’une centaine
d’activités.
Tout au long de l’année elle organise et accueille un
grand nombre de manifestations, expositions, conférences,
spectacles et accompagne également l’activité de nombreuses
associations.
Au-delà de la simple offre d’activités et de l’organisation
d’événements, la MJC Lillebonne est attentive à permettre aux
jeunes, comme aux adultes, de développer leur personnalité,
de prendre conscience de leurs aptitudes et de se préparer à
devenir les citoyens actifs et responsables d’une communauté
vivante.
Comme toutes les associations, elle est gérée par un conseil
d’administration composé d’adhérents élus lors de l’Assemblée
Générale qui se réunit une fois par an.
La MJC Lillebonne Saint Epvre est affiliée à la Fédération
Lorraine des MJC.
Elle est également membre de l’Union locale des MJC réunissant
les 6 MJC de Nancy : Bazin, Beauregard, Desforges, Haut du
lièvre, Lillebonne, Trois Maisons
Site internet de l’Union Locale des MJC de Nancy :",
Repair Café à Villers,Ecologiser,MJC Savine à Villers-lès-Nancy,https://mhdd.grandnancy.eu/actus-agenda/agenda/details-agenda?uuid=9cf27b54-4bfb-11ee-a51a-2dc944ed9ece,,"3 Bd des Essarts, 54600 Villers-lès-Nancy",,"Mercredis 26 novembre, 17 décembre, 28 janvier 2025",,,"Un aspirateur à bout de souffle ? Une cafetière en carafe ? Un grille-pain cuit ? Le réseau des Repair Cafés du Grand Nancy est la solution !

Lors des ateliers, des bricoleurs bénévoles proposent gracieusement leurs services pour réparer les objets du quotidien, avec l’aide de leurs propriétaires, car l’objectif est de réparer ensemble, d’apprendre et d’échanger, dans une ambiance conviviale.

L’entrée est libre ! ",
Repair Café à Essey-lès-Nancy,Ecologiser,Foyer Foch,https://mhdd.grandnancy.eu,,"Foyer Foch, 74 Avenue Foch, 54270 Essey-lès-Nancy",,"Jeudis 11 décembre, 8 janvier, 12 février",,,"Un atelier chaleureux au Foyer Foch où habitants et bénévoles se retrouvent pour réparer électroménager, objets du quotidien et luminaires. Ici, on apprend en faisant : guidé par des bricoleurs passionnés, chaque participant découvre comment diagnostiquer une panne, démonter un appareil et lui offrir une seconde vie. L’ambiance est simple, conviviale, centrée sur l’entraide et la réduction des déchets.",
Repair Café à Tomblaine,Ecologiser,Espace Jean Jaurès,https://mhdd.grandnancy.eu,,"Espace Jean Jaurès, Tomblaine",,Chaque mardi de 17h à 19h,,,"Un Repair Café hebdomadaire qui rassemble habitants, étudiants et bénévoles autour de la réparation d’objets du quotidien. Tous les mardis, l’espace Jean Jaurès devient un petit atelier collectif : tournevis, lampes, radios, vélos… chacun vient avec ce qu’il souhaite sauver. Les bénévoles prennent le temps d’expliquer, de montrer les gestes et de transmettre leur savoir-faire dans une ambiance détendue.",
Repair Café Nancy Les Abeilles,Ecologiser,Résidence Habitat Jeunes Les Abeilles,https://www.nancy.fr,,"Résidence Les Abeilles, 58 rue de la République, Nancy",,"Jeudis 23 jan, 27 fév, 27 mars, 24 avr, 22 mai, 26 juin",,,"Un Repair Café urbain et dynamique au sein de la Résidence Les Abeilles. Les ateliers en soirée attirent beaucoup de jeunes, curieux d’apprendre à réparer eux-mêmes leurs objets. On y traite principalement petit électroménager, lampes, objets déco et petits appareils. Un lieu idéal pour s’initier au bricolage, comprendre les bases de l'électronique et rencontrer d’autres habitants dans une ambiance conviviale.",
Repair Café à Saint-Max,Ecologiser,Centre Social Saint-Michel-Jericho (espace Champlain),https://mhdd.grandnancy.eu,,"Centre Social Saint-Michel-Jericho, 75 rue Alexandre 1er, Saint-Max",,"Samedis 20 déc, 17 jan, 21 fév",,,"Un Repair Café familial accueilli au Centre Social Saint-Michel-Jéricho. Les samedis matins, habitants du quartier et bénévoles se retrouvent pour remettre en état de petits appareils, outils ou objets cassés. L’objectif : apprendre ensemble, transmettre des compétences et éviter que des objets encore réparables ne finissent à la poubelle. Un moment simple, utile et chaleureux.",
Repair Café à Heillecourt,Ecologiser,Maison du Temps Libre,https://mhdd.grandnancy.eu,,"Maison du Temps Libre, 11 rue Gustave Lemaire, Heillecourt",,"Mercredis 10 déc, 14 jan, 11 fév",,,"À la Maison du Temps Libre, le Repair Café rassemble régulièrement des habitants désireux d’apprendre à réparer leurs objets. On y répare grille-pain, lampes, perceuses, mixers… avec l’aide de bénévoles expérimentés. C’est aussi un lieu d’échange où les participants prennent confiance en leurs capacités et découvrent l’importance du réemploi.",
Repair Café à Houdemont,Ecologiser,Pôle Associatif,https://mhdd.grandnancy.eu,,"Pôle Associatif, 12 bis rue des Saules, Houdemont",,"Mardis 16 déc, 20 jan",,,"Le Repair Café de Houdemont se tient au Pôle Associatif, où petits appareils, jouets, outils ou objets électriques trouvent une seconde chance. Les bénévoles accompagnent chaque réparation pas à pas et expliquent les bons gestes. Une initiative locale forte qui sensibilise au réemploi et à la lutte contre le gaspillage.",
Repair Café à Jarville-la-Malgrange,Ecologiser,Jarville-la-Malgrange,https://mhdd.grandnancy.eu,,Jarville-la-Malgrange,,"Mercredis 17 déc, 21 jan",,,"Un Repair Café de quartier où habitants et bénévoles s’entraident pour prolonger la vie des objets. L’ambiance est détendue et pédagogique : chacun peut venir avec un appareil en panne, apprendre à l’ouvrir, comprendre ce qui ne va pas et tenter une réparation guidée. Un moment utile et convivial.",
Repair Café à Laneuveville-devant-Nancy,Ecologiser,Laneuveville-devant-Nancy,https://mhdd.grandnancy.eu,,Laneuveville-devant-Nancy,,"Jeudis 4 déc, 8 jan, 5 fév",,,"Le Repair Café local accueille régulièrement les habitants pour réparer ensemble leurs objets du quotidien. On y apprend à diagnostiquer une panne simple, manipuler des outils en sécurité, et adopter les bons réflexes pour offrir une seconde vie à ce qui semblait perdu. Un geste écologique et collectif apprécié dans la commune.",
Repair Café à Ludres,Ecologiser,Ludres,https://mhdd.grandnancy.eu,,Ludres,,Mardi 2 déc,,,"Un Repair Café convivial où les bénévoles accompagnent les habitants dans la réparation de petits équipements domestiques. Les ateliers permettent à chacun de se familiariser avec les bases du bricolage et de l’électricité, dans un esprit de partage et de réduction des déchets.",
Repair Café à Pulnoy,Ecologiser,Centre de Rencontre,https://mhdd.grandnancy.eu,,"Centre de rencontre, avenue Léonard de Vinci (Résidences Vertes), Pulnoy",,"Lundis 1 déc, 2 mars, 1er juin",,,"Au Centre de Rencontre, le Repair Café propose des ateliers ouverts à tous : réparation d’appareils, petit bricolage, couture légère. Les participants viennent avec leurs objets cassés et repartent avec de nouvelles compétences et la satisfaction d’avoir évité un déchet supplémentaire.",
Repair Café à Saulxures-lès-Nancy,Ecologiser,Mairie de Saulxures-lès-Nancy,https://mhdd.grandnancy.eu,,"Mairie de Saulxures-lès-Nancy, 2 rue de Tomblaine",,"Lundis 6 fév, 4 mai, 5 oct",,,"Organisé à la Mairie, le Repair Café de Saulxures accueille habitants et bénévoles pour réparer ensemble toutes sortes d’objets. De la bouilloire à la lampe en passant par les jouets, chaque séance est une occasion d’apprendre, de transmettre et de réduire notre impact environnemental.",
Repair Café à Seichamps,Ecologiser,Seichamps,https://mhdd.grandnancy.eu,,Seichamps,,"Lundi 5 jan, mardi 7 avr, lundi 7 sept",,,"Un Repair Café de proximité où l’on apprend à réparer au lieu de jeter : petit électroménager, éclairage, petits appareils domestiques. Les bénévoles partagent leurs compétences, expliquent les gestes simples et encouragent chacun à devenir plus autonome face aux objets du quotidien.",
Repair Café à Vandœuvre-lès-Nancy,Ecologiser,MJC Lorraine,https://mhdd.grandnancy.eu,,"MJC Lorraine, 1 rue de Lorraine, Vandœuvre-lès-Nancy",,Lundis mensuels,,,"À la MJC Lorraine, le Repair Café attire bricoleurs confirmés et habitants curieux. Les ateliers sont rythmés et très vivants : un mélange de partage de compétences, de dépannage pratique et d’apprentissage collectif. On y traite une grande variété d’objets dans une ambiance chaleureuse.",
Repair Café du quartier 3B à Nancy,Ecologiser,MJC Beauregard,https://www.nancy.fr,,"MJC Beauregard, Place Maurice Ravel, Nancy",,"Samedis 6 déc, 10 jan, 7 fév",,,"À la MJC Beauregard, le Repair Café du quartier 3B est un rendez-vous local apprécié. Les habitants y amènent appareils en panne, outils, lampes ou objets divers. Soutenu par des bénévoles compétents, l’atelier met l’accent sur la transmission de savoir-faire et la réduction des déchets.",
