title,description,category,organization,location,time_commitment,latitude,longitude,is_active,tags,image_url,source_url
Devenir bénévole,"Être bénévole aux Restos du Cœur, c’est s’engager à rendre un service désintéressé aux personnes en difficulté. C’est également partager l’éthique, les objectifs et l’objet social de l’Association mais aussi respecter la Charte des bénévoles Nos besoins sont très différents d’un lieu à un autre et nos bénévoles sont indispensables pour y répondre partout en France. Consultez nos annonces pour connaitre les besoins des Restos près de chez vous (n’hésitez pas à les consulter régulièrement car elles s’enrichissent au fil des jours) ou déposez une proposition de bénévolat spontanée . Devenir bénévole aux Restos du Coeur, c’est intégrer une aventure humaine qui a du coeur. Restons engagés et solidaires ! L'esprit de Coluche se résume en quelques mots dans la Charte des bénévoles, que chacun s'engage à appliquer intégralement :",,,,,,,,,,https://www.facebook.com/sharer.php?u=https://www.restosducoeur.org/devenir-benevole
Les maraudes du Village au service du lien social,Reportage,,,,,,,,,,https://emmaus-france.org/les-maraudes-du-village-au-service-du-lien-social
Les nouvelles d'Emmaüs,"Les sujets du moment : Un guide pour déconstruire les clichés sur les personnes à la rue Emmaüs Epargne solidaire lance sa nouvelle campagne en faveur de l’inclusion numérique Liberté, égalité, sanctionnés Pour un budget cohérent et juste au bénéfice de nos concitoyen.nes PLF 2026 : plan de liquidation et licenciements de grande ampleur dans l’insertion ?",,,,,,,,,https://emmaus-france.org/wp-content/uploads/2025/09/guide_personnesalarue_vhaut.jpg,https://emmaus-france.org/un-guide-pour-deconstruire-les-cliches-sur-les-personnes-a-la-rue/
"Donner une seconde vie aux objets, le geste solidaire !",Redonnez de la valeur à vos objets et vêtements en les donnant au centre Emmaüs le plus proche de chez vous Faites un achat solidaire et responsable en achetant un objet ou un vêtement revalorisé par nos centres Emmaüs,,,,,,,,,,https://www.label-emmaus.co/fr/
Agir avec nous,"Rejoignez-nous ! Devenir bénévole Venez vivre l'""expérience Emmaüs"" ! Participer à un chantier d'été Partout en France on t’attend chez Emmaüs ! Faire son service civique",,,,,,,,,https://emmaus-france.org/wp-content/uploads/2023/04/Arles-2-scaled-e1734083452183.jpg,https://emmaus-france.org/chantier-ete/
Le mouvement Emmaüs,"Depuis plus de 70 ans, le mouvement Emmaüs milite pour un monde plus juste dans lequel chacun retrouve sa dignité et sa place. Laboratoire d’innovation sociale, il invente au quotidien des solutions pour lutter contre l’exclusion.",,,,,,,,,https://emmaus-france.org/wp-content/themes/emmausfr/assets/img/image-5.jpg,https://emmaus-france.org
groupes Emmaüs en France,groupes Emmaüs en France Action sociale/logement Comités d’amis Communautés SOS Familles Emmaüs Structures d’insertion Voir le réseau,,,,,,,,,,https://emmaus-france.org
Nos domaines d'actions,Nos domaines d'actions Réemploi et alternatives écologiques Communautés Emmaüs Actions sociales et logement Insertion par l’emploi,,,,,,,,,https://emmaus-france.org/wp-content/themes/emmausfr/assets/img/image-5.jpg,https://emmaus-france.org
Facebook,Facebook,,,,,,,,,,http://www.facebook.fr/villedenancy
Instagram,Instagram,,,,,,,,,,https://www.instagram.com/villedenancy
Tiktok,Tiktok,,,,,,,,,,https://www.tiktok.com/@nancymaville
Linkedin,Linkedin,,,,,,,,,,https://www.linkedin.com/company/nancymaville
Youtube,Youtube,,,,,,,,,,https://www.youtube.com/villedenancy
Services en ligne,Services en ligne,,,,,,,,,,https://www.nancy.fr/services-en-ligne
Portail Famille,Portail Famille,,,,,,,,,,https://famille.nancy.fr/
Accessibilité Web,Accessibilité Web,,,,,,,,,,https://www.nancy.fr/accueil
Services en ligne,Services en ligne,,,,,,,,,,https://services.nancy.fr/
Accessibilité,Accessibilité,,,,,,,,,,https://www.nancy.fr/accueil
"Nancy la ville Actualités Magazines, dernières publications L'agenda Grands projets La nature dans la ville Nancy Intern","Nancy la ville Actualités Magazines, dernières publications L'agenda Grands projets La nature dans la ville Nancy Internationale Participation citoyenne Quartiers et territoires Vie associative Ville étudiante Ville inclusive et droits Humains Ville solidaire Ville sportive Ville touristique Vos grands Rendez-vous Webcam place Stanislas",,,,,,,,,,https://www.nancy.fr/accueil
Actualités,Actualités,,,,,,,,,,https://www.nancy.fr/accueil
"Magazines, dernières publications","Magazines, dernières publications",,,,,,,,,,https://www.nancy.fr/accueil
L'agenda,L'agenda,,,,,,,,,,https://www.nancy.fr/accueil
Grands projets,Grands projets,,,,,,,,,,https://www.nancy.fr/accueil
La nature dans la ville,La nature dans la ville,,,,,,,,,,https://www.nancy.fr/accueil
Nancy Internationale,Nancy Internationale,,,,,,,,,,https://www.nancy.fr/accueil
Participation citoyenne,Participation citoyenne,,,,,,,,,,https://www.nancy.fr/accueil
Quartiers et territoires,Quartiers et territoires,,,,,,,,,,https://www.nancy.fr/accueil
Vie associative,Vie associative,,,,,,,,,,https://www.nancy.fr/accueil
Ville étudiante,Ville étudiante,,,,,,,,,,https://www.nancy.fr/accueil
Ville inclusive et droits Humains,Ville inclusive et droits Humains,,,,,,,,,,https://www.nancy.fr/accueil
Ville solidaire,Ville solidaire,,,,,,,,,,https://www.nancy.fr/accueil
Ville sportive,Ville sportive,,,,,,,,,,https://www.nancy.fr/accueil
Ville touristique,Ville touristique,,,,,,,,,,https://www.nancy.fr/accueil
Vos grands Rendez-vous,Vos grands Rendez-vous,,,,,,,,,,https://www.nancy.fr/accueil
Webcam place Stanislas,Webcam place Stanislas,,,,,,,,,,https://www.nancy.fr/accueil
"Services Services en ligne Démarches administratives Famille - Jeunesse - Scolarité Mobilité, stationnement Propreté, dé","Services Services en ligne Démarches administratives Famille - Jeunesse - Scolarité Mobilité, stationnement Propreté, déchets Infos travaux Commerces - entreprises Emploi Logement Nancy solidaire Santé, bien-être Séniors à Nancy Police municipale Urbanisme",,,,,,,,,,https://www.nancy.fr/accueil
Services en ligne,Services en ligne,,,,,,,,,,https://www.nancy.fr/accueil
Démarches administratives,Démarches administratives,,,,,,,,,,https://www.nancy.fr/accueil
Famille - Jeunesse - Scolarité,Famille - Jeunesse - Scolarité,,,,,,,,,,https://www.nancy.fr/accueil
"Mobilité, stationnement","Mobilité, stationnement",,,,,,,,,,https://www.nancy.fr/accueil
"Propreté, déchets","Propreté, déchets",,,,,,,,,,https://www.nancy.fr/accueil
Infos travaux,Infos travaux,,,,,,,,,,https://www.nancy.fr/accueil
Commerces - entreprises,Commerces - entreprises,,,,,,,,,,https://www.nancy.fr/accueil
Emploi,Emploi,,,,,,,,,,https://www.nancy.fr/accueil
Logement,Logement,,,,,,,,,,https://www.nancy.fr/accueil
Nancy solidaire,Nancy solidaire,,,,,,,,,,https://www.nancy.fr/accueil
"Santé, bien-être","Santé, bien-être",,,,,,,,,,https://www.nancy.fr/accueil
Séniors à Nancy,Séniors à Nancy,,,,,,,,,,https://www.nancy.fr/accueil
Police municipale,Police municipale,,,,,,,,,,https://www.nancy.fr/accueil
Urbanisme,Urbanisme,,,,,,,,,,https://www.nancy.fr/accueil
"Culture Musées et galeries Salles de spectacle Patrimoine Bibliothèques, médiathèques Archives municipales Éducation art","Culture Musées et galeries Salles de spectacle Patrimoine Bibliothèques, médiathèques Archives municipales Éducation artistique et culturelle Appels à candidature ADN | Art Dans Nancy Carte Museo Cinéma et audiovisuel Grands événements Quartiers en fête",,,,,,,,,,https://archives.nancy.fr
Musées et galeries,Musées et galeries,,,,,,,,,,https://www.nancy.fr/accueil
Salles de spectacle,Salles de spectacle,,,,,,,,,,https://www.nancy.fr/accueil
Patrimoine,Patrimoine,,,,,,,,,,https://www.nancy.fr/accueil
"Bibliothèques, médiathèques","Bibliothèques, médiathèques",,,,,,,,,,https://www.nancy.fr/accueil
Archives municipales,Archives municipales,,,,,,,,,,https://archives.nancy.fr
Éducation artistique et culturelle,Éducation artistique et culturelle,,,,,,,,,,https://www.nancy.fr/accueil
Appels à candidature,Appels à candidature,,,,,,,,,,https://www.nancy.fr/accueil
ADN | Art Dans Nancy,ADN | Art Dans Nancy,,,,,,,,,,https://run.nancy.fr/art-dans-nancy
Carte Museo,Carte Museo,,,,,,,,,,https://www.nancy.fr/accueil
Cinéma et audiovisuel,Cinéma et audiovisuel,,,,,,,,,,https://www.nancy.fr/accueil
Grands événements,Grands événements,,,,,,,,,,https://www.nancy.fr/accueil
Quartiers en fête,Quartiers en fête,,,,,,,,,,https://www.nancy.fr/accueil
Vie municipale Arrêtés municipaux Décisions Budget de la ville Conseil municipal Les élus Les élus de quartier Le maire ,Vie municipale Arrêtés municipaux Décisions Budget de la ville Conseil municipal Les élus Les élus de quartier Le maire et vous Les services de la ville de Nancy Loi de transformation de la fonction publique,,,,,,,,,,https://maelis.info/app/collectivite/215403957/panneau-affichage/arretes
Arrêtés municipaux,Arrêtés municipaux,,,,,,,,,,https://maelis.info/app/collectivite/215403957/panneau-affichage/arretes
Décisions,Décisions,,,,,,,,,,https://maelis.info/app/collectivite/215403957/panneau-affichage/decisions
Budget de la ville,Budget de la ville,,,,,,,,,,https://www.nancy.fr/accueil
Conseil municipal,Conseil municipal,,,,,,,,,,https://www.nancy.fr/accueil
Les élus,Les élus,,,,,,,,,,https://www.nancy.fr/accueil
Les élus de quartier,Les élus de quartier,,,,,,,,,,https://www.nancy.fr/accueil
Le maire et vous,Le maire et vous,,,,,,,,,,https://www.nancy.fr/accueil
Les services de la ville de Nancy,Les services de la ville de Nancy,,,,,,,,,,https://www.nancy.fr/accueil
Loi de transformation de la fonction publique,Loi de transformation de la fonction publique,,,,,,,,,,https://www.nancy.fr/accueil
Rechercher,Rechercher,,,,,,,,,,https://www.nancy.fr/accueil
"Services en ligne Découvrez l'ensemble des services et démarches en ligne pour faciliter votre quotidien : signalements,","Services en ligne Découvrez l'ensemble des services et démarches en ligne pour faciliter votre quotidien : signalements, état civil, famille, vie pratique, stationnement, circulation et transport, culture et loisirs, stages et emploi... Portail famille La ville de Nancy met à disposition des familles un espace numérique sécurisé, accessible 24h/24, vous permettant d'effectuer les démarches administratives liées aux activités de crèche, scolaires et périscolaires. Participation citoyenne Participez activement à la vie locale grâce aux dispositifs citoyens, solidaires et participatifs proposés par la Ville de Nancy.",,,,,,,,,https://www.nancy.fr/fileadmin/NAN/accueil/acces-rapide/illustration-demarches-en-ligne-1200.jpg,https://www.nancy.fr/services-en-ligne
"Portail famille La ville de Nancy met à disposition des familles un espace numérique sécurisé, accessible 24h/24, vous p","Portail famille La ville de Nancy met à disposition des familles un espace numérique sécurisé, accessible 24h/24, vous permettant d'effectuer les démarches administratives liées aux activités de crèche, scolaires et périscolaires.",,,,,,,,,https://www.nancy.fr/fileadmin/NAN/accueil/acces-rapide/illustation-portail-famille-1200.jpg,https://famille.nancy.fr
"Participation citoyenne Participez activement à la vie locale grâce aux dispositifs citoyens, solidaires et participatif","Participation citoyenne Participez activement à la vie locale grâce aux dispositifs citoyens, solidaires et participatifs proposés par la Ville de Nancy.",,,,,,,,,https://www.nancy.fr/fileadmin/NAN/accueil/acces-rapide/illustation-participation-citoyenne-1200.jpg,https://www.nancy.fr/nancy-la-ville/simpliquer
Les offres de stationnement,Les offres de stationnement,,,,,,,,,,https://www.nancy.fr/accueil
Stationnement PMR,Stationnement PMR,,,,,,,,,,https://www.nancy.fr/accueil
Les marchés de Nancy,Les marchés de Nancy,,,,,,,,,,https://www.nancy.fr/accueil
Agenda,Agenda,,,,,,,,,,https://www.nancy.fr/accueil
Webcam,Webcam,,,,,,,,,,https://www.nancy.fr/accueil
Mentions légales,Mentions légales,,,,,,,,,,https://www.nancy.fr/accueil
Politique de confidentialité,Politique de confidentialité,,,,,,,,,,https://www.nancy.fr/fileadmin/NAN/footer/politique-de-confidentialite-vdn.pdf
Accessibilité : partiellement conforme,Accessibilité : partiellement conforme,,,,,,,,,,https://www.nancy.fr/accueil
Plan du site,Plan du site,,,,,,,,,,https://www.nancy.fr/accueil
Passeport (demande ou renouvellement),Passeport (demande ou renouvellement),,,,,,,,,,https://www.nancy.fr/accueil
Carte nationale d’identité (demande ou renouvellement),Carte nationale d’identité (demande ou renouvellement),,,,,,,,,,https://www.nancy.fr/accueil
Attestation d’accueil,Attestation d’accueil,,,,,,,,,,https://www.nancy.fr/accueil
Déclaration naissance,Déclaration naissance,,,,,,,,,,https://www.nancy.fr/accueil
Préinscription scolaire et inscription centre de loisirs,Préinscription scolaire et inscription centre de loisirs,,,,,,,,,,https://www.nancy.fr/accueil
Nancy Mag,Nancy Mag,,,,,,,,,,https://www.nancy.fr/accueil
Venir à Nancy,Venir à Nancy,,,,,,,,,,https://www.nancy.fr/accueil
Politique de gestion des cookies et traceurs,Politique de gestion des cookies et traceurs,,,,,,,,,,https://www.nancy.fr/accueil
Gestion cookies et services,Gestion cookies et services,,,,,,,,,,https://www.nancy.fr/accueil
Site du département des Vosges,"Le Conseil départemental des Vosges présente une nouvelle exposition itinérante au fil de sept étapes sur le territoire, d’octobre 2025 à mai 2026. Découvrez trois dispositifs complémentaires pour soutenir les jeunes : la carte ZAP+88, la plateforme Boss&Vous et la Bourse Jeunes Talents Le Conseil départemental des Vosges travaille avec la start up française Laou et vous accompagne gratuitement dans votre projet d’installation",,,,,,,,,"data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMSIgaGVpZ2h0PSIxIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",https://www.vosges.fr/mon-departement/departements-en-action-grands-projets/dapres-nature-excursions-vosges/
Actualités,Actualités Tous Appui aux territoires Économie Infrastructure Jeunesse L'institution Solidarité Transition écologique Toutes les actualités Transition écologique La transition écologique : un enjeu pour le Département L'institution Les Vosges attractives avec le Conseil départemental ! L'institution D’après Nature excursion(s) dans les Vosges Infrastructure Le Département entretient et sécurise les ouvrages d’art Jeunesse Collégiens : effectuez votre stage au Conseil départemental !,,,,,,,,,"data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMSIgaGVpZ2h0PSIxIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",https://www.vosges.fr/mon-departement/actualites/
"Le Département accélère avec ""Vosges transition écologique""","Précédent Suivant Le Département accélère avec ""Vosges transition écologique"" Plus d'infos Le Département donne la priorité à sa Jeunesse Plus d'infos Le Département engage un Plan Actions Santé Plus d'infos Le Département, site pilote pour un Territoire Numérique Éducatif Plus d'infos Voir tous les grands projets",,,,,,,,,"data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMSIgaGVpZ2h0PSIxIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",https://www.vosges.fr/mon-departement/departements-en-action-grands-projets/vosges-transition-ecologique/
