"id","title","description","category","organization","location","time_commitment","starts_at","ends_at","latitude","longitude","is_active","tags","image_url","source_url","created_at","updated_at"
"11","Collecte solidaire","💡 Collecte solidaire. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Fab City","Paris","Mensuel","","","48.859879","2.35269","false","convivial, accueil, débutant","","","2025-09-29T01:25:38Z","2025-10-19T19:15:09Z"
"12","Tri de dons","💡 Tri de dons. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Tiers-Lieu Citoyen","Paris","Ponctuel","","","48.858907","2.336523","false","impact, réseau, convivial","","","2025-09-29T01:25:38Z","2025-10-14T20:03:00Z"
"13","Maraude du soir","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Maraude du soir** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Un **samedi par mois**, 9:30–12:30 (nov.–déc. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","benevolat","Emmaüs","Paris","Samedi 9:30–12:30","","","48.842795","2.343507","false","réseau, impact, convivial","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-29T08:27:44Z"
"14","Atelier CV & LinkedIn","💡 Atelier CV & LinkedIn. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","Emmaüs","Paris","Hebdomadaire","","","48.87217","2.34697","false","convivial, accueil, débutant","","","2025-09-29T01:25:38Z","2025-10-19T19:15:09Z"
"15","Découverte du code (initiation)","💡 Découverte du code (initiation). Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","Collectif Zéro Déchet","Paris","Hebdomadaire","","","48.866268","2.342142","false","impact, accueil, réseau","","","2025-09-29T01:25:38Z","2025-10-27T18:57:28Z"
"16","Formation premiers secours","💡 Formation premiers secours. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","Simplon","Paris","1–2 h","","","48.874102","2.325338","false","impact, convivial, débutant","","","2025-09-29T01:25:38Z","2025-10-19T14:24:56Z"
"17","Webinaire reconversion","💡 Webinaire reconversion. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","Makesense","Paris","2–4 h","","","48.878923","2.322024","false","impact, accueil, convivial","","","2025-09-29T01:25:38Z","2025-10-19T14:26:22Z"
"18","Atelier podcast - initiation","💡 Atelier podcast - initiation. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","Pôle Asso","Paris","Hebdomadaire","","","48.87103","2.364142","false","débutant, impact, réseau","","","2025-09-29T01:25:38Z","2025-10-19T19:27:05Z"
"19","Atelier CV & LinkedIn","![Illustration](https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Atelier CV & LinkedIn** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Un **samedi par mois**, 9:30–12:30 (nov.–déc. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","formation","Restos du Cœur","Paris","Mardi 18:30–20:00","","","48.87714","2.384917","false","accueil, convivial, impact","https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-29T08:27:44Z"
"20","Découverte du code (initiation)","💡 Découverte du code (initiation). Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","Secours Populaire","Paris","1–2 h","","","48.859908","2.359169","false","réseau, impact, débutant","","","2025-09-29T01:25:38Z","2025-10-14T20:03:00Z"
"21","Formation premiers secours","💡 Formation premiers secours. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","Secours Populaire","Paris","1–2 h","","","48.85246","2.34574","false","débutant, réseau, convivial","","","2025-09-29T01:25:38Z","2025-10-19T14:26:22Z"
"22","Formation premiers secours","![Illustration](https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Formation premiers secours** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Créneau **hebdomadaire** : jeudi 18:30–20:00 (à partir de nov. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","formation","Tiers-Lieu Citoyen","Paris","Mardi 18:30–20:00","","","48.858987","2.342892","false","convivial, réseau, impact","https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-29T09:49:02Z"
"23","Soirée jeux coopératifs","![Illustration](https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Soirée jeux coopératifs** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Cycle **novembre–décembre 2025**, horaires communiqués après inscription

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","rencontres","Emmaüs","Paris","Mardi 18:30–20:00","","","48.844317","2.359291","false","réseau, accueil, impact","https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"24","Cercle de lecture engagé","💡 Cercle de lecture engagé. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Bibliothèque Solidaire","Paris","1–2 h","","","48.843124","2.35827","false","débutant, accueil, convivial","","","2025-09-29T01:25:38Z","2025-10-19T14:26:23Z"
"25","Apéro associatif","💡 Apéro associatif. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Collectif Zéro Déchet","Paris","Mensuel","","","48.865401","2.335241","false","débutant, accueil, impact","","","2025-09-29T01:25:38Z","2025-10-27T18:57:28Z"
"26","Soirée jeux coopératifs","💡 Soirée jeux coopératifs. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Latitudes","Paris","Ponctuel","","","48.870457","2.359477","false","accueil, débutant, impact","","","2025-09-29T01:25:38Z","2025-10-13T16:02:21Z"
"27","Soirée jeux coopératifs","💡 Soirée jeux coopératifs. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Makesense","Paris","Mensuel","","","48.866339","2.347261","false","convivial, réseau, accueil","","","2025-09-29T01:25:38Z","2025-10-21T07:46:51Z"
"28","Cercle de lecture engagé","💡 Cercle de lecture engagé. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","MJC Locale","Paris","Mensuel","","","48.841317","2.36423","false","impact, réseau, convivial","","","2025-09-29T01:25:38Z","2025-10-13T06:50:51Z"
"29","Initiation compost collectif","💡 Initiation compost collectif. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Le Wagon","Paris","Ponctuel","","","48.841054","2.350759","false","accueil, impact, débutant","","","2025-09-29T01:25:38Z","2025-10-19T14:24:56Z"
"30","Café-rencontre bienveillance","💡 Café-rencontre bienveillance. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Restos du Cœur","Paris","2–4 h","","","48.840055","2.34436","false","réseau, accueil, convivial","","","2025-09-29T01:25:38Z","2025-10-21T05:19:36Z"
"31","Sprint produit (2h)","💡 Sprint produit (2h). Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","entreprendre","Tiers-Lieu Citoyen","Paris","2–4 h","","","48.849442","2.325267","false","convivial, accueil, débutant","","","2025-09-29T01:25:38Z","2025-10-27T18:57:28Z"
"32","Club entrepreneurs à impact","💡 Club entrepreneurs à impact. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","entreprendre","Bibliothèque Solidaire","Paris","1–2 h","","","48.848157","2.378892","false","convivial, débutant, réseau","","","2025-09-29T01:25:38Z","2025-10-11T18:19:24Z"
"33","Office hours juridique","![Illustration](https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Office hours juridique** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Un **samedi par mois**, 9:30–12:30 (nov.–déc. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","entreprendre","Collectif Zéro Déchet","Paris","Jeudi 14:00–17:00","","","48.843564","2.375078","false","débutant, convivial, réseau","https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-29T08:05:21Z"
"34","Sprint produit (2h)","💡 Sprint produit (2h). Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","entreprendre","Makesense","Paris","1–2 h","","","48.871321","2.322417","false","convivial, impact, réseau","","","2025-09-29T01:25:38Z","2025-10-19T14:24:56Z"
"35","Atelier finance d'amorçage","💡 Atelier finance d'amorçage. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","entreprendre","Emmaüs","Paris","Ponctuel","","","48.871423","2.370774","false","débutant, impact, convivial","","","2025-09-29T01:25:38Z","2025-10-19T13:19:00Z"
"36","Atelier — Construire son Business Plan","![Illustration](https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
CCI Grand Nancy : méthodologie, trame financière, hypothèses clés. Conseils personnalisés pour pitcher et convaincre.

🗓️ **Quand ?** Jeudi 13 novembre 2025, 14:00–17:00

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://www.nancy.cci.fr/evenements","entreprendre","CCI Grand Nancy","53 Rue Stanislas, 54000 Nancy","Jeudi 13/11/2025, 14:00–17:00","2025-11-13T14:00:00Z","2025-11-13T17:00:00Z","48.6932","6.1829","true","business plan,financement,atelier","https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"37","Permanence création d’entreprise (sur RDV)","![Illustration](https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Entretien individuel : statut, aides, étapes de la création. Orientation vers partenaires (BPI, CMA, réseaux).

🗓️ **Quand ?** Chaque mardi (dès nov. 2025), 09:30–12:00 — sur rendez-vous

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://www.nancy.cci.fr/evenements","entreprendre","CCI Grand Nancy","53 Rue Stanislas, 54000 Nancy","Hebdomadaire — sur rendez-vous","","","48.6932","6.1829","true","diagnostic,statuts,accompagnement","https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"38","Afterwork Entrepreneurs Nancy","![Illustration](https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Rencontres entre porteurs de projet, mentors, experts locaux. Pitches libres, retours d’expérience, réseautage.

🗓️ **Quand ?** Jeudi 27 novembre 2025, 18:30–20:30

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://www.nancy.cci.fr/evenements","entreprendre","Réseau local (CCI & partenaires)","Centre-ville, 54000 Nancy","Mensuel, 18:30–20:30","2025-11-27T18:30:00Z","2025-11-27T20:30:00Z","48.6918","6.1837","true","réseau,pitch,mentorat","https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"39","Atelier — Financer son projet","![Illustration](https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Panorama des financements : prêts, subventions, love money, dispositifs région. Préparer son dossier et son prévisionnel.

🗓️ **Quand ?** Vendredi 28 novembre 2025, 09:30–12:00

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://www.nancy.cci.fr/evenements","entreprendre","CCI Grand Nancy","53 Rue Stanislas, 54000 Nancy","Vendredi 28/11/2025, 09:30–12:00","2025-11-28T09:30:00Z","2025-11-28T12:00:00Z","48.6932","6.1829","true","financement,bpi,subventions","https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"40","Mentorat entrepreneur·e — rendez-vous découverte","![Illustration](https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Matching avec mentors (stratégie, juridique, produit). Objectif : clarifier la feuille de route 90 jours.

🗓️ **Quand ?** Entretiens continus — créneaux nov.–déc. 2025

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://communs-entrepreneurs.fr","entreprendre","Communs d’entrepreneurs Nancy","Nancy & Métropole","Sur candidature","","","48.692","6.184","true","mentorat,roadmap,coaching","https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"41","Atelier Pitch & Storytelling","![Illustration](https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Structurer un pitch clair et mémorable : problème, solution, traction. Exercices filmés + feedback.

🗓️ **Quand ?** Mercredi 19 novembre 2025, 14:00–17:00

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://www.nancy.cci.fr/evenements","formation","CCI Grand Nancy","53 Rue Stanislas, 54000 Nancy","Mercredi 19/11/2025, 14:00–17:00","2025-11-19T14:00:00Z","2025-11-19T17:00:00Z","48.6932","6.1829","true","pitch,communication,atelier","https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"42","Matinale Numérique — TPE/PME","![Illustration](https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Référencement local, réseaux sociaux, outils no-code. Cas pratiques d’entreprises du territoire.

🗓️ **Quand ?** Mardi 18 novembre 2025, 08:30–10:00

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://www.nancy.cci.fr/evenements","formation","CCI Grand Nancy","53 Rue Stanislas, 54000 Nancy","Mensuel, 08:30–10:00","2025-11-18T08:30:00Z","2025-11-18T10:00:00Z","48.6932","6.1829","true","numérique,seo,no-code","https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"43","Découvrir la méthodologie HACCP (restauration)","![Illustration](https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Sensibilisation aux bonnes pratiques d’hygiène et aux points critiques — prérequis avant ouverture.

🗓️ **Quand ?** Sessions bimensuelles — prochains créneaux nov.–déc. 2025

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://www.nancy.cci.fr/evenements","formation","CCI Grand Nancy","53 Rue Stanislas, 54000 Nancy","Session bimensuelle","","","48.6932","6.1829","true","haccp,restauration,hygiène","https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"44","Café-projets — échanges entre pairs","![Illustration](https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Partage d’avancées, obstacles et ressources. Format court, bienveillant, ouvert aux débutant·es.

🗓️ **Quand ?** Tous les 15 jours, jeudi 18:30 — prochain : 06 novembre 2025

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://www.grandnancy.eu","rencontres","Communauté Déclic Nancy","Place Stanislas, 54000 Nancy","Tous les 15 jours, 18:30","","","48.6937","6.1834","true","pair-à-pair,entraide,réseau","https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"45","Visite — Tiers-lieu & fablab","![Illustration](https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Découverte des machines + ateliers à venir. Idéal pour prototyper et rencontrer des makers.

🗓️ **Quand ?** Samedi 22 novembre 2025, 10:00–12:00

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://lafabriquedespossibles.fr","rencontres","La Fabrique des Possibles","Nancy","Mensuel","2025-11-22T10:00:00Z","2025-11-22T12:00:00Z","48.682","6.186","true","tiers-lieu,fablab,prototype","https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"46","Repair Café — accueil & logistique","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Accueil du public, orientation, aide à la tenue du stand. Ambiance conviviale, sensibilisation anti-gaspillage.

🗓️ **Quand ?** Samedi 15 novembre 2025, 09:30–12:30

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://mjc-bazin.fr","benevolat","MJC Bazin","47 Rue Henri Bazin, 54000 Nancy","Mensuel, samedi matin","","","48.6848","6.1899","false","réparation,accueil,convivial","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"47","Atelier couture — coup de main","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Aider à l’atelier : prise de mesures, préparation du matériel, accompagnement débutant·es.

🗓️ **Quand ?** Chaque mercredi 17:30–19:30 (nov.–déc. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://mjc-bazin.fr","benevolat","MJC Bazin","47 Rue Henri Bazin, 54000 Nancy","Hebdomadaire","","","48.6848","6.1899","true","couture,atelier,pédagogie","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"48","Distribution alimentaire","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Renfort sur la distribution, accueil et réassort. Esprit d’équipe, respect et confidentialité.

🗓️ **Quand ?** Créneaux hebdomadaires (2–3 h), dès novembre 2025

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://www.restosducoeur.org/devenir-benevole/","benevolat","Restos du Cœur — Nancy","Centre-ville, 54000 Nancy","Hebdomadaire (créneaux 2–3 h)","","","48.689","6.184","true","solidarité,logistique,accueil","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"49","Tri de dons & mise en rayon","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Collecte, tri, étiquetage. Participer au circuit de revalorisation et à la boutique solidaire.

🗓️ **Quand ?** 2–4 h / semaine — créneaux nov.–déc. 2025

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://www.secourspopulaire.fr","benevolat","Secours Populaire — Nancy","Nancy","2–4 h / semaine","","","48.69","6.18","true","tri,solidarité,boutique","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"50","Bénévolat boutique & recyclerie","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Accueil, caisse, réassort, tri. Faire vivre une économie circulaire locale.

🗓️ **Quand ?** Créneaux ponctuels et réguliers — dès novembre 2025

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://emmaus-france.org","benevolat","Emmaüs — Agglo de Nancy","Heillecourt / agglomération nancéienne","Ponctuel ou régulier","","","48.654","6.183","true","recyclerie,réemploi,accueil","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"51","Maraude & lien social","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
Aller à la rencontre, distribuer boissons chaudes, orienter vers partenaires. Travail en binôme.

🗓️ **Quand ?** Soirées (2–3 h) — tournées nov.–déc. 2025

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.

🔗 **En savoir plus** : https://www.francebenevolat.org","benevolat","Réseau local (associatif)","Nancy — différents quartiers","Soirées (2–3 h)","","","48.692","6.184","true","maraude,écoute,orientation","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T01:25:38Z","2025-10-28T08:08:44Z"
"52","Cercle de lecture engagé","💡 Cercle de lecture engagé. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Réseau Entourage","Lyon","1–2 h","","","45.760726","4.845865","false","impact, débutant, accueil","","","2025-09-29T01:25:38Z","2025-10-21T06:39:15Z"
